id,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_frase_voto1,q_frase_politicos,q_voto_insuficiente,q_otras_formas,q_politicos_preocupan,q_partidos_beneficio,q_acciones_cambio,q_redes_informarse,q_redes_emociones,q_ideologia,q_evita_hablar,q_gusto_hablar
1303,64,Mujer,Tamaulipas,Primaria,No sabe/No responde,60+,No,Sí,141994.87,Primaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,Uno,Ninguno,"No, otra razón",Ninguno,3,Sí,No sabe/No responde,,Votar no sirve para nada,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ninguna,No,En desacuerdo
1304,69,Mujer,Guerrero,Primaria,Rural,60+,Sí,Sí,126608.09,Primaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,76.0,Hombre,,Primaria completa,,9,Ninguno,Ninguno,Sí,3,4,Sí,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,No sabe/No responde,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ninguna,No,En desacuerdo
1308,36,Mujer,México,Carrera técnica o comercial,Rural,35-44,No,No,68638.18,Carrera técnica,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,2,2,No,Rural,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Centro,Sí,Ni de acuerdo ni en desacuerdo
1311,61,Hombre,Nuevo León,Carrera técnica o comercial,Urbana,60+,No,Sí,57406.83,Carrera técnica,Era jubilado o pensionado(a) (Programa Adultos Mayores),,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,7,2 o más,2 o más,Sí,2,3,Sí,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Izquierda,Sí,De acuerdo
1311,31,Hombre,Hidalgo,Licenciatura o Ingeniería,Urbana,25-34,No,No,41016.74,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,1,1,No,Urbana,,Votar no sirve para nada,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,Sí,En desacuerdo
1313,49,Hombre,Guerrero,Licenciatura o Ingeniería,Urbana,45-59,No,No,36268.39,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,1,4,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",Creo en la política y en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,En desacuerdo
1314,25,Hombre,Guerrero,Primaria,Rural,25-34,No,No,104942.42,Licenciatura completa,Vendía o hacía algún producto para vender,,Hijo o hija,,55.0,Hombre,,Secundaria incompleta,,4,2 o más,Ninguno,Sí,2,4,No,Rural,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ninguna,No,Ni de acuerdo ni en desacuerdo
1315,45,Mujer,Nuevo León,Secundaria,Rural,45-59,No,No,99867.54,Secundaria completa,Se dedicaba al hogar,,Cónyuge o pareja,,43.0,Hombre,,Secundaria completa,,5,Uno,Ninguno,Sí,1,2,No,Rural,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,No,De acuerdo
1316,29,Mujer,Guerrero,Secundaria,Rural,25-34,No,No,99557.39,Preparatoria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,1,1,No,Rural,,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Centro,No,De acuerdo
1321,60,Hombre,Nuevo León,Secundaria,Urbana,60+,No,No,71706.68,Secundaria completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,3,3,No,Urbana,,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",Creo en la política y en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Izquierda,Sí,En desacuerdo
