id_2,id_original,edad,sexo,entidad,escolaridad,zona,age_group,lengua_indigena,discapacidad,FE,educacion,ocupacion_semana_pasada,ocupacion_otra,relacion_jefe_hogar,relacion_jefe_otro,edad_jefe_hogar,sexo_jefe_hogar,sexo_jefe_otro,educacion_jefe_hogar,educacion_jefe_otro,personas_hogar,banos_completos,autos_hogar,internet_hogar,trabajaron_ultimo_mes,cuartos_dormir,discapacidad_largo_plazo,localidad_rural_urbana,localidad_otra,q_no_seguir_noticias,q_medios_verifican,q_redes_confiables,q_emergencia_redes,q_molestan_periodistas,q_coincide_no_busca,q_confio_abiertos,q_titular_enemigos,q_titular_ineficaces,q_discutir_redes,q_imposible_distinguir,q_comparte_desenmascarar,q_frase_voto1,q_frase_politicos,q_voto_insuficiente,q_otras_formas,q_politicos_preocupan,q_partidos_beneficio,q_acciones_cambio,q_redes_informarse,q_redes_emociones,q_ideologia,q_evita_hablar,q_gusto_hablar
OM1-1007,2046,68,Mujer,Nuevo León,Licenciatura o Ingeniería,Urbana,60+,No,No,64150.66,Licenciatura completa,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,2,2 o más,Uno,Sí,1,1,No,Urbana,,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Centro,Sí,De acuerdo
OM1-1008,2047,47,Hombre,Guanajuato,Primaria,Rural,45-59,No,No,105223.61,Primaria completa,Vendía o hacía algún producto para vender,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,3,5 o más,No,Rural,,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ninguna,Sí,Ni de acuerdo ni en desacuerdo
OM1-1009,2048,22,Mujer,Ciudad de México,Licenciatura o Ingeniería,Urbana,18-24,No,No,62232.1,Licenciatura completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,3,Uno,Ninguno,Sí,No sabe/No responde,No sabe/No responde,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No sabe/No responde,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Ninguna,No,De acuerdo
OM1-1010,2049,37,Hombre,Baja California,Maestría o especialidad,Urbana,35-44,No,No,27820.3,Diplomado o maestría,Vendía o hacía algún producto para vender,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,5,2 o más,2 o más,Sí,2,3,No,Urbana,,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
OM1-1011,2052,46,Hombre,México,Doctorado,Urbana,45-59,No,No,15869.18,Doctorado,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,2 o más,Uno,Sí,1,3,No,Urbana,,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Izquierda,Sí,De acuerdo
OM1-1012,2054,65,Hombre,México,No estudió/ Otro,Rural,60+,No,No,34852.76,Primaria incompleta,Trabajó con pago,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Ninguno,Ninguno,No por falta de recursos,1,1,No,Rural,,Sí está de acuerdo,Sí está de acuerdo,No sabe/No responde,No sabe/No responde,No está de acuerdo,No sabe/No responde,No sabe/No responde,No sabe/No responde,No sabe/No responde,No sabe/No responde,No sabe/No responde,No está de acuerdo,No sabe/No responde,"Creo en la política, pero no en los políticos",No sabe/No responde,De acuerdo,No sabe/No responde,De acuerdo,Ni de acuerdo ni en desacuerdo,No sabe/No responde,No sabe/No responde,Ninguna,Sí,En desacuerdo
OM1-1013,2055,42,Hombre,Sonora,Preparatoria o bachillerato,Urbana,18-24,No,No,74701.26,Secundaria completa,Se dedicaba al hogar,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,4,Uno,Uno,Sí,1,2,No,Urbana,,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país",No creo en la política ni en los políticos,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ninguna,No,En desacuerdo
OM1-1014,2055,18,Mujer,México,Secundaria,Urbana,35-44,No,No,72813.97,Licenciatura incompleta,Estudiaba,,Padre o madre,,56.0,Hombre,,Licenciatura incompleta,,5,Uno,Ninguno,Sí,2,2,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Izquierda,No,De acuerdo
OM1-1015,2056,21,Mujer,México,Preparatoria o bachillerato,Urbana,18-24,No,No,78171.1,Licenciatura incompleta,Estudiaba,,Es usted (la persona entrevistada es jefa o jefe del hogar),,,,,,,1,Uno,Uno,Sí,Ninguno,2,No,Urbana,,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Derecha,No,Ni de acuerdo ni en desacuerdo
OM1-1016,2057,18,Mujer,Colima,Licenciatura o Ingeniería,Urbana,18-24,No,No,61601.03,Preparatoria completa,Trabajó con pago,,Padre o madre,,35.0,Mujer,,Licenciatura completa,,3,Uno,Uno,Sí,2,2,No,Urbana,,Ni de acuerdo ni en desacuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Con el voto decido lo que pasa en el país,"Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ninguna,Sí,En desacuerdo
OM1-1017,2062,23,Hombre,Baja California,Secundaria,Urbana,18-24,No,No,104964.47,Preparatoria completa,Trabajó con pago,,"[Esp.] Otro, especifique",SOBRINO,42.0,Mujer,,Secundaria completa,,5,Uno,2 o más,Sí,4,3,No,Urbana,,Sí está de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí está de acuerdo,No está de acuerdo,No está de acuerdo,No está de acuerdo,Sí está de acuerdo,No está de acuerdo,Sí está de acuerdo,Sí está de acuerdo,No está de acuerdo,"Votar es importante, pero no es suficiente para decidir lo que pasa en el país","Creo en la política, pero no en los políticos",De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ninguna,Sí,De acuerdo
